idx	chapter	ref
1	1	"Although most dictionary definitions of ""seduction"" stress its negative qualities, the <a class='reflink' target='_blank' href='https://www.oed.com/view/Entry/174733?redirectedFrom=seduction#eid'>Oxford English Dictionary</a> lists as its fifth definition, ""seductiveness, alluring quality."""
2	1	"This point is most clearly made by Alexander Murphy (1997, 257). As he framed it, ""one of the most notable features of Western social science between 1945 and the early 1970s was the tendency to treat the state as the only territorial unit of great significance in industrialized societies."""
3	1	"As John Agnew (1994, 59) argues, the nation-state construct ""seems innocent enough, except that it endows the territorial state with the legitimacy of representing and expressing the 'character' or 'will' of the nation."""
4	1	See the Online Cambridge Dictionary. The definition can be found at:  http://dictionary.cambridge.org/us/dictionary/english/nation-state
5	1	"According to the authoritative <a class='reflink' target='_blank' href='https://www.oed.com/view/Entry/255438?redirectedFrom=nation-state#eid'>Oxford English Dictionary</a>, a nation-state is ""more generally any independent political state."""
6	1	"As Bernard Yack (2003, 35) points out, ""...we tend to use the worlds 'nation' and 'people' interchangeably, in both ordinary and scholarly language."""
7	1	"To be sure, not all scholarship on the subject maintains this essential distinction. Scholars as insightful as Daron Acemoglu and James A. Robinson (2012), for example, use the term ""nation"" as a mere synonym for ""independent country,"" as is reflected in the title of their important book <i>Why Nations Fail: The Origins of Power, Prosperity, and Poverty</i>. Revealingly, such terms as ""nation"" and ""nation-state"" do not appear in the book's index. <br><br> Similarly, Philip G. Roeder (2007, 3, 12), in a perceptive study of the origin of the nation-state (focusing on the former Soviet Union), argued that in mid-2006 the world contained 192 nation-states (the members of the United Nations), as well as one potential nation-state, Taiwan. Yet he also allows that ""there may be as many as six to eight hundred active nation-state projects and another seven to eight thousand potential projects,"" defining a ""nation-state project as ""a claim that a specific population (purportedly a nation) should be self-governing within a sovereign state of its own."""
8	1	Russell (1991).
9	1	"Devastating criticism of the model's key components are so common that we cannot possibly do them justice. Here we would only highlight Robert D. Kaplan's (2001, 38) essay on ""The Lies of Mapmakers,"" in which he advised his readers to ""consider the map of the world, with its 190 or so countries, each signified by a bold and uniform color,"" and then went on to bemoan the fact that ""this inflexible, artificial reality staggers on, not only in the United Nations but in various geographical and travel publications...""  "
10	1	"Anderson (1996, 1). Similarly, Timothy Baycroft and Mark Hewitson (2006, 1) contend that the simple question ""what is a nation"" has yet to receive a satisfactory answer."
11	1	"See, for example, Roshwald (2006). Roshwald's prime example of ancient nations is that of the Jews, but he also argues that ""The ancient Greeks provide another striking example of national identity as a vital political, cultural, and ideological force in the ancient world"" (p. 22)."
12	1	"A prime example of the modernist thesis is expressed in Gellner's <i>Nations and Nationalism</i> (2006 [second edition, original 1983]), which stresses the importance of industrialization. Eric Hobsbawm (1990, 9), another key modernist theoretician of the nation and nationalism, argues that the nation, ""belongs exclusively to a particular and historically recent period,"" and can only exist in the context of the modern territorial state."
13	1	"Smith (1986, pp. 11, 16, 212). See also Gat (2013). Although we largely agree with Smith that a number of nation-states arose around ethnic cores that long predated the industrial period, we are suspicious his more universalistic claims, as many successful nation-states have nothing in the way of an ethnic core, whether preexisting or recently invented. We also largely concur with Patrick Geary's (2002) counter-contention that nationalist ideology has led many scholars to overplay the national rooting and ethnic cohesion of European states, although we suspect that he engages in hyperbole of his own in arguing that ""the history of Europe's nations ... has turned our understanding of the past into a toxic waste dump, filled with the poison of ethnic nationalism ..."" (p. 15)."
14	1	"Navari (1981, 14). "
15	1	"<a class='reflink' target='_blank' href='http://boliviarising.blogspot.com/2007/07/transition-from-nation-state-to.html'>""The Transition from a Nation State to a Plurinational State,""</a> by Jubenal Quispe, in <i>Bolivia Rising</i>, June 29, 2007. "
16	1	"<a class='reflink' target='_blank' href='https://nacla.org/article/bolivias-separatist-movement'>""Bolivia's Separatist Movement,""</a> by Teo Ballv√©. <i>Nacla</i>, September 25, 2007."
17	1	"For a list of the official languages, see Article Five of the Bolivian constitution, available <a class='reflink' target='_blank' href='https://bolivia.justia.com/nacionales/nueva-constitucion-politica-del-estado/primera-parte/titulo-i/capitulo-primero/'>here</a>."
18	1	"These supposed multinational states are as follows: Afghanistan, Bosnia and Herzegovina, Canada, China, Ethiopia, India, Indonesia, Iraq, Madagascar, Montenegro, Nigeria, Pakistan, Russia, South Africa, Spain, Turkey, and the United Kingdom. See ""<a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Multinational_state'>Multinational State</a>.""<br><br>Not surprisingly, other entries in this crowd-sourced encyclopedia regard all independent polities as nation-states. The article on ""<a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Westphalian_sovereignty'>Westphalian Sovereignty</a>,"" for example, describes state sovereignty as ""the principle of international law that each nation-state has sovereignty over its territory and domestic affairs, to the exclusion of all external powers, on the principle of non-interference in another country's domestic affairs, and that each state (no matter how large or small) is equal in international law."""
19	1	"Anatoly M. Khazanov (2003, 80) is worth quoting in this context: ""Many alleged nation-states are simultaneously characterized as multiethnic states, states with plural or multicultural societies, and so on. In fact, in addition to stateless nations, there are states without nations, that is, states that in the modern sense lack any nations at all. At best, these might be characterized as 'nation-states to be' but only if one wants to demonstrate a good deal of optimism."""
20	1	"The nation-state status of the United States also potentially threatened by the resurgence of national identity at the constituent-state level. Roughly a third of the residents of the most populous state in the union have so lost faith in the American project that they want to secede, at least according to ""Calexit"" polling in 2017. (""<a class='reflink' target='_blank' href='http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-poll-shows-support-for-california-1485281419-htmlstory.html'>Support for California Secession Is Up, One Poll Says,</a>"" By Phil Willon, <i>Los Angeles Times</i>, January 24, 2017.)"
21	1	Herb and Kaplan (1999).
22	1	"Smith (1986, 166)."
23	1	"This distinction is specified in the <a class='reflink' target='_blank' href='http://www.congreso.es/portal/page/portal/Congreso/Congreso/Hist_Normas/Norm/const_espa_texto_ingles_0.pdf'>Spanish constitution</a>: ""The Constitution is based on the indissoluble unity of the Spanish Nation, the common and indivisible homeland of all Spaniards; it recognizes and guarantees the right to self-government of the nationalities and regions of which it is composed and the solidarity among them all"" (Section Two)."
24	1	"See the discussion in Fukuyama (2018, 169). A charged example of nesting claims and counter-claims to national identity is found in China, a polity that historian Peter Perdue describes as the ""multinational Chinese nation-state"" (2010, 4). Such a seemingly oxymoronic turn of phrase signals Perdue's disagreement with the official stance of the People's Republic of China, which posits a singular Chinese nation encompassing all ethnic groups that have ever lived within the current boundaries of the People's Republic of China&mdash;including those that formed their own non-Chinese states in the past. In 2007 the PRC went so far as to ban South Korean historical dramas that (correctly) portrayed the two early Korean (or partially Korean) states of Goguryeo and Balhae, which held lands in what is now northeastern China, as Korean rather than as Chinese. (See ""<a class='reflink' target='_blank' href='http://www.geocurrents.info/historical-geography/the-china-south-korea-history-war'>The China-South Korea History War</a>,"" by Martin W. Lewis, <i>GeoCurrents</i>, June 11, 2010.) Similar tensions underlie controversies surrounding the national positions of the Tibetans and Uighurs."
25	1	"""<a class='reflink' target='_blank' href='https://www.nytimes.com/2020/04/14/us/california-coronavirus-newsom-nation-state.html'>Is California a Nation-State?</a>"" by Jill Cowen. <i>New York Times</i>, April 14, 2014."
26	1	Coker (2019).
27	1	"Owing to the geopolitically anomalous situation of American Samoa, its residents have been classified as ""nationals"" but not ""citizens"" of the United States. In December 2019, <a class='reflink' target='_blank' href='https://www.scribd.com/document/439564853/Fitisemanu-v-United-States-D-Utah-Opinion'>a U.S. federal court ruled against this denial of citizenship</a>, but the case remains under appeal."
28	1	"Several scholars have argued that Herder did occasionally make political claims for the nation, or that political claims were latent in his works. See Patten (2010) and van Benthem van den Bergh (2018)."
29	1	Zaha (2008).
30	1	Ravina (2017).
31	1	Anderson (1983).
32	1	Manela (2009).
33	1	"As Terry Martin notes, ""Lenin and Woodrow Wilson were the two great propagandists for the right of nations to self-determination."" Martin (1998, 859). The supposedly self-governing national republics of the new Soviet Union, however, were to be firmly subordinated to the Kremlin, with ethno-nationalist rhetoric employed mostly to help incite revolution; see Herman (2017, 208)."
34	1	"Manela (2009, 5, 61). "
35	1	"Reisser (2012, 11). "
36	1	"Altic (2016). As Altic (2016, 184) notes, ""Therefore, when assessing the actual ethnic composition of the population in a particular area, the Inquiry never relied on maps from a single source alone, but was constantly comparing the data it had received from all the interested parties. Their efforts to cope with this plethora of information, often quite contradictory, were exemplified in the fact that the Inquiry compiled, for their own purposes, a catalogue of all ethnographic maps of the Balkans (the list was 38 pages long!)."""
37	1	"The League of Nations awarded extensive former lands of the Ottoman Empire to the United Kingdom and France as ""mandates."" Although Britain and France were supposed to administer these lands for the benefit of their indigenous populations, they were in effect governed as colonies."
38	1	Reisser (2012).
39	1	"Reisser (2012, 175).  Although a number of countries, notably Poland, became far less ethnically diverse than they had been, that was largely the result of the genocidal Nazi horrors combined with the extensive post-war ethnic cleansing of Germans."
40	1	"Mazower (2009, 27)."
41	1	"Mazower (2009, 27)."
42	1	"For early studies of nation-building, see Deutsch and Folt (1966) and Bendix (1964)."
43	1	"See ""<a class='reflink' target='_blank' href='http://foreignpolicy.com/2012/11/27/nation-building-at-home-why-we-need-roads-bridges-and-boring-stuff-like-that/'>Nation-Building at Home: Why We Need Roads, Bridges, and Boring Stuff Like That</a>,"" by Stephen M. Walt, <i>Foreign Policy</i>, Nov 27, 2012."
44	1	"Wimmer (2018, 2)."
45	1	"Roessingh (1996, 274)."
46	1	See <a class='reflink' target='_blank' href='https://books.google.com/ngrams/graph?content=nation-state&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t1%3B%2Cnation%20-%20state%3B%2Cc0'>Google Ngram Viewer</a>.
47	1	"Stewart (2020, 32). "
48	1	"In common parlance, as in journalistic practice, ""country,"" ""state,"" and ""nation"" tend to be used interchangeably. Strictly speaking, these terms should be preceded by either ""sovereign"" or ""independent"" if they are to unambiguously denote the first-order constituents of the global geopolitical system, since the province-level ""states"" of federally organized countries, such as California in the U.S. or Uttar Pradesh in India, do not count as ""states"" in this more rarified sense. Nor do the constituent countries of such constitutional monarchies as the U.K. (Wales, for example), Denmark (Greenland, for example), or the Netherlands (Cura&ccedil;ao, for example)."
49	1	"To be sure, a few popular sources include even uninhabited territories, mostly islands, as ""countries."" ""<a class='reflink' target='_blank' href='https://alphabetizer.flap.tv/lists/list-of-all-world-countries.php'>The Alphabetizer</a>,"" for example, describes the world as divided into"" hundreds of countries with different languages, cultures, beliefs, and individuals""&mdash;and includes Antarctica on its list."
50	1	"The convergence of the three basic terms employed in the standard model of geopolitics has its own long history, one that highlights some of the complexities and contradictions inherent in the larger schema. A brief etymological digression may clarify what we are dealing with here.<br><br>The term ""nation"" derives from a Latin word meaning ""to be born,"" which eventually came to refer to groups of people purportedly descended from the same ancestors. As Raymond Williams noted in <i>Keywords</i> (1985, 178), ""nation"" was essentially a racial term for most of its history. Its definitions subsequently branched off in several directions, coming to refer to entities as diverse as home-town associations of students at Swedish universities and sovereign states. The racial origins of the term might seem to nudge its current connotations toward an ethnic conception of nationality, foregrounding concerns about the resurgence of ethnonationalist discourse. What is striking, however, was the rapidity with which ""nation"" switched from a predominantly racial to a culturally neutral geopolitical term, with prominent authors ignoring the intermediate ethnonational stage in which the nation was most often conceived as a self-consciously political community united by cultural (especially linguistic) commonalities. As recently as 1936, for example, the influential geographer Griffith Taylor regretted that most laymen still incorrectly used the terms race and nation as synonyms (1936, 21)&mdash;an observation that most laypeople today would probably find baffling. Yet Taylor (1936, 21) went on to argue that ""nation"" had by this time more properly come to mean simply ""the body of inhabitants of a country united under an independent government of their own."" Taylor thus classified all sovereign states as nations, regardless of their cultural or political characteristics&mdash;or their degree of national cohesion. Such effacement of its own evolution, we suspect, is one reason why ""nation"" has come to be such a troublesome term.<br><br>""State,"" like ""nation,"" also derives ultimately from Latin, stemming from stare, ""to stand."" Today the English meanings of ""state"" are wide indeed, referring most broadly (as a noun) to ""condition, manner of existing,"" as in the phrase ""state of mind"" (OED, 1971, Volume II, 3025). Its political referent, which evidently dates to the late 13th century, ""grew out of the meaning 'conditions of a country' with regard to government, prosperity, etc."" (<a class='reflink' target='_blank' href='https://www.etymonline.com/search?q=state'><i>Online Etymological Dictionary</i></a>).<br><br>From denoting the mere circumstances of the polity, ""state"" came to mean the government itself, and then gradually extended to include the lands and people under the government's authority. The <i>Oxford English Dictionary</i> (OED) gives this definition in its 29th entry under ""state,"" where it is defined as ""the supreme civil power and government vested in a country or nation."" That usage emerged as early as 1538 (1971, 3025). Intriguingly, the 30th definition provided by the OED, also dating to the sixteenth century, points toward the eventual convergence of all three key geopolitical terms: ""State: A body of people occupying a defined territory and organized under a sovereign government. Hence the territory ... occupied by such a body.""<br><br>""Country"" likewise comes from Latin, deriving from <i>contra</i>, ""against or opposite"" (Williams 1985, 71). This term came to denote the land lying ""over there,"" away from some key vantage point. In this sense, ""country"" referred to areas removed from the center of power, especially those of a rustic nature. The English word retains this definition, used in such constructions as ""country music"" and ""the countryside."" Eventually, ""country"" also came to mean any expanse of land associated with some specific feature, be it a particular human group (as in ""the Basque country"") or even physiographical attributes (""the high country""). As to its specifically geopolitical usage, the shift from denoting an area removed from the center of power to one focused on but extending well beyond that same center is a striking case of a word coming to mean something entirely opposed to its original definition. Thus Singapore is now regarded as a country, albeit one without a countryside to speak of.<br><br>Etymological tracing is a fraught pursuit, considering the transformations that words routinely undergo. This exploration of ""nation,"" ""state,"" and ""country"" is meant to be suggestive only, offered to provoke thought rather than to lead to any solid conclusions. After all, the etymologically informed statement that ""our family [nation] stands together [state] over there [country]"" is not exactly a promising foundation for a geopolitical order."
51	1	"Agnew (1994, 59). "
52	1	Gessen (2016). 
53	1	Martin (1998). 
54	1	"Jackson (2007, 5-6)."
55	1	"Bagge (2019, 2)."
56	1	"See the Wikipedia article ""<a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/State_(polity)'>State (Polity)</a>"".<br><br>The definition of ""the state"" is almost as contentious as that of ""the nation."" The origin of the state has been traced back some 5,000 years to the first organized polities with permanent institutions. Many writers, however, hold that the vast majority of early states, including those of medieval Europe, were too disorganized and based too much on personal relationships to merit the label (see Davies 2003). Robert Jackson similarly denies state-level status to pre-colonial African polities, while allowing that they formed states ""in the looser anthropological definition"" (1990, 68). Martin van Creveld (1999, 1) goes so far as to contend that the state is a ""subspecies"" of the corporation and did not emerge until the modern era. But scholars who define the term more broadly classify all manner of organized political communities as ""states,"" including those of so-called Dark Age Europe. As Chris Wickham (2016:12) has cogently observed, ""the public authority of kings in the early middle ages ... can ...be usefully characterized in terms of state power."""
57	1	"Maier (2012); see page 4 for a discussion of tribal states.. Since the requirements for statehood remain fuzzy, we make frequent recourse to such qualified terms as ""state-like"" or ""statelet."""
58	1	"Whether the ""wandering peoples"" of late antiquity formed nations is another question. Most were evidently multi-ethnic and multilingual; the Vandals, who crossed the Straits of Gibraltar in 429 before conquering Roman North Africa, may have counted almost as many linguistically Iranian Alans in their numbers as linguistically Germanic Vandals. On the history of the Alans, see Bachrach (1973)."
59	1	"In the process, they lost more than half of their number. See Khodarkovsky (2006)."
60	1	H&auml;m&auml;l&auml;inen (2019).
61	1	Munkh-Erdene (2016).
62	1	Sneath (2007).
63	1	Atwood (2012).
64	1	"Munkh-Erdene (2011), (2016), and (2018)."
65	1	"Munkh-Erdene (2016, 652)."
66	1	"Even if the central ruler was removed, the divisional administrative system typically remained intact, allowing state-structures to survive under the power of autonomous lordships. As a result, Sneath (2007) writes of the ""Headless State."" "
67	1	See Victor Lieberman (2003). Lieberman elaborates the idea that mainland Southeast Asia and Europe exhibit somewhat similar patterns of state and national development owing to the fact that they were largely insulated from conquest by steppe states. 
68	1	Wolters (1999). Siam's (Thailand's) transition from a mandala-style geopolitical realm to a modern territorial state is outlined in Thongchai Winichakul's deservedly celebrated book <i>Siam Mapped</i> (1997).
69	1	"Bagge (2019, 35) argues that the ""fundamental principle of early modern international politics was not the integrity of the state but the rights of the dynasty,"" while further contending, in opposition to Charles Tilly, that ""the European state system was formed by marriage more than by war"" (p. 38)."
70	1	"Cassel (2012, 9)."
71	1	Branch (2014).
72	1	"Branch (2014, 113-114). A number of other authors have made similar arguments. As Stuart Elden (2013, 245) argues, ""It was not a case of a Europe with nation-states with fixed territory as a model that was exported to the rest of the world; rather, the New World proved to be a laboratory where ideas were tried out, concepts forged, and techniques tested and perfected, which were then carried back to Europe."""
73	1	H&auml;m&auml;l&auml;inen (2008).
74	1	"Cassel (2012, 4-5)."
75	1	"""<a class='reflink' target='_blank' href='https://qz.com/1371851/weed-will-soon-be-legal-in-canada-but-not-for-south-koreans/'>It's Illegal for South Koreans to Smoke Weed Abroad&mdash;Even Where It's Legal</a>,"" by Steve Mollman. <i>Quartz</i>, August 28, 2018."
76	1	"Bill&eacute; (2016, 11)."
77	1	"Bodin's three stipulations&mdash;that sovereignty must be absolute, undivided, and perpetual&mdash;have been subject to on-going interpretation and debate. He did not mean that a sovereign ruler should have autocratic power, nor that states should or could be ever-lasting. The thorniest issue, however, is probably that of ""undivided sovereignty."" Bodin believed that ultimate authority could be held by the people as a whole (in a democracy), by an aristocratic body, or by a single monarch (his favored solution). But he denied that it could be <i>divided</i> between or among these three elements (see Andrew 2011, 77). This assertion, as Bodin understood, ran counter to most classical theories of political order. Polybius, for example, drawing on Aristotle, argued that much of Republican Rome's power was derived from its mixed constitution in which sovereign authority was divided in a complex manner among the one (the consuls, actually two in number), the few (the senate), and the many (the popular assemblies). Such theorizing was of crucial importance in the drafting of the U.S. Constitution."
78	1	"See the discussion in Andrew (2011, 78)."
79	1	"Krasner (1999). See also the discussion in Caspersen (2012, 13-14)."
80	1	"Krasner (1999, 3-4) distinguishes four types of sovereignty: <i>international legal sovereignty</i> (""practices associated with mutual recognition""); <i>Westphalian sovereignty</i> (""exclusion of external actors from authority structures within a given territory""); <i>domestic sovereignty</i> (""ability of public authorities to exercise effective control within the borders of their own polity""); and <i>interdependence sovereignty</i> (""the ability of public authorities to regulate the flow of information, ideas, goods, people, pollutants, or capital across the borders of their state."")"
81	1	"As noted by James Sheehan (2006, 2), ""As a doctrine, sovereignty is usually regarded as unified and inseparable; as an activity, however, it is plural and divisible."""
82	1	"As Charles Maier (2012, 7) puts it, ""Although political theorists have often insisted that sovereignty is absolute, in practice it has often been partial or nested within imperial or associative structures."""
83	1	"Kim, Fidler, and Ganguly (2009)."
84	1	"For a balanced consideration of this controversy, see ""<a class='reflink' target='_blank' href='https://theconversation.com/when-it-comes-to-chinas-influence-on-australia-beware-of-sweeping-statements-and-conflated-ideas-94496'>When It Comes to China's Influence on Australia, Beware of Sweeping Statements and Conflated Ideas</a>."" <i>The Conversation: Academic Rigor, Journalistic Flair</i>, April 10, 2018."
85	1	"Minian (2020, 110)."
86	1	"Sheehan (2006, 10)."
87	1	"Zick (2005, 232). "
88	1	"According to the <a class='reflink' target='_blank' href='https://books.google.com/ngrams/graph?content=(The+United+States+are%2BThe+United+States+have)%2C(The+United+States+is%2BThe+United+States+has)&year_start=1760&year_end=2008&corpus=15&smoothing=2&share=&direct_url=t1%3B%2C%28The%20United%20States%20are%20%2B%20The%20United%20States%20have%29%3B%2Cc0%3B.t1%3B%2C%28The%20United%20States%20is%20%2B%20The%20United%20States%20has%29%3B%2Cc0'>Google Ngram Viewer</a>, the tipping point occurred in roughly 1890."
89	1	"Tellingly, the title of Lauren Benton's crucial book on this topic is <i>A Search for Sovereignty</i> (2009)."
90	1	"Benton (2009, 2)."
91	1	"Scholz (2020, 32)."
92	1	"Scholz (2020, 89)."
93	1	"As Stuart Elden frames the issue (2013, 309), ""In recent years there has been a consolidated challenge to the prevailing orthodoxy, with a recognition that the treaties of Westphalia say little that is claimed of them, and that to privilege this as a turning point is misleading in a number of ways."" Jordan Branch (2014, 125) is more blunt, arguing that the 1648 settlement ""contained little if any change in the deep grammar of political authority."" He goes (page 128) on to conclude that ""Westphalia was anything but the founding moment of modern international relations."""
94	1	"Ruthven (2018, 9)."
95	1	"Indeed, Ruthven's own description of the Peace of Westphalia (2018, 80) acknowledges that ""sovereignty and statehood were neither explicitly referred to, nor defined"" in the Westphalian treaties."
